 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2012,2013,2014,2015
United Arab Emirates,11.1,10.9,10.6,10.3,10.1,9.8,9.6,9.4,9.1,8.8,8.5,8.2,,7.8,7.4,7.1,6.8
United Kingdom,6.6,6.4,6.3,6.3,6.1,6.0,5.9,5.8,5.6,5.4,5.2,5.0,,4.8,4.6,4.4,4.2
United States,8.4,8.3,8.2,8.1,8.1,8.0,7.9,7.8,7.7,7.5,7.4,7.2,,7.1,6.9,6.7,6.5
Uruguay,16.8,16.2,15.8,15.3,14.8,14.3,13.8,13.3,13.0,12.7,12.3,12.0,,11.6,11.1,10.6,10.1
Uzbekistan,63.2,61.4,59.6,57.8,56.0,54.2,52.5,50.8,49.2,47.6,46.1,44.6,,43.2,41.8,40.4,39.1
Vanuatu,28.5,28.2,27.9,27.9,27.9,27.9,28.0,28.2,28.2,28.4,28.5,28.6,,28.6,28.4,28.1,27.5
"Venezuela, RB",21.7,21.0,20.4,19.8,19.2,18.5,17.9,17.4,17.1,16.8,16.6,16.4,,16.1,15.7,15.3,14.9
Vietnam,33.8,32.5,31.4,30.4,29.4,28.5,27.7,26.9,26.2,25.5,24.8,24.2,,23.5,22.9,22.3,21.7
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
West Bank and Gaza,29.8,28.9,28.2,27.5,26.9,26.3,25.8,25.2,24.7,24.2,23.8,23.3,,22.8,22.3,21.7,21.1
"Yemen, Rep.",95.4,90.7,85.9,81.3,76.8,72.6,68.5,64.7,61.0,57.6,54.2,51.1,,48.4,46.0,43.8,41.9
Zambia,163.1,154.2,142.9,131.2,120.6,111.7,104.5,98.0,93.1,87.4,82.1,78.6,,74.4,70.2,66.6,64.0
Zimbabwe,105.8,105.6,105.1,104.0,103.0,101.9,100.0,98.0,95.4,92.9,89.5,85.6,,78.5,74.5,72.3,70.7
"Created from: World Development Indicators
Series : Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,,,,,,,,
